date/time (UTC),wind direction [degrees],wind speed [kts],wind gust [kts],air temperature [°C]
2015-06-21 00:00:00,190,11,,19
2015-06-21 03:00:00,140,5,,18
2015-06-21 05:54:00,100,6,,16
2015-06-21 06:00:00,100,6,,16
2015-06-21 06:54:00,130,5,,16
2015-06-21 07:15:00,130,4,,16
2015-06-21 07:54:00,150,7,,17
2015-06-21 08:36:00,140,4,,17
2015-06-21 08:54:00,130,4,,17
2015-06-21 09:00:00,130,4,,17
2015-06-21 09:54:00,80,5,,17
2015-06-21 10:24:00,40,3,,17
2015-06-21 10:54:00,70,5,,16
2015-06-21 11:17:00,50,5,,17
2015-06-21 11:27:00,70,5,,16
2015-06-21 11:44:00,40,3,,17
2015-06-21 11:54:00,60,3,,17
2015-06-21 12:00:00,60,3,,17
2015-06-21 12:54:00,40,3,,18
2015-06-21 13:34:00,40,4,,18
2015-06-21 13:54:00,0,0,,20
2015-06-21 14:23:00,70,5,,18
2015-06-21 14:54:00,100,4,,20
2015-06-21 15:00:00,100,4,,20
2015-06-21 15:06:00,160,8,,21
2015-06-21 15:54:00,170,6,,21
2015-06-21 16:05:00,170,5,,21
2015-06-21 17:10:00,200,3,,22
2015-06-21 17:19:00,210,5,,22
2015-06-21 17:54:00,220,7,,22
2015-06-21 18:00:00,220,7,,22
2015-06-21 18:54:00,290,5,,23
2015-06-21 19:05:00,290,5,,23
2015-06-21 19:54:00,320,8,,24
2015-06-21 20:09:00,310,10,,24
2015-06-21 20:43:00,310,11,,23
2015-06-21 20:54:00,340,12,,23
2015-06-21 21:00:00,340,12,,23
2015-06-21 21:54:00,40,8,,23
2015-06-21 22:14:00,60,4,,21
2015-06-21 22:54:00,90,6,,21
2015-06-21 23:54:00,140,6,,
2015-06-22 00:00:00,140,6,,18
2015-06-22 00:54:00,80,4,,18
2015-06-22 01:05:00,70,6,,18
2015-06-22 01:54:00,100,8,,17
2015-06-22 02:03:00,,4,,17
2015-06-22 02:36:00,130,6,,17
2015-06-22 02:54:00,160,6,,16
2015-06-22 03:00:00,160,6,,16
2015-06-22 03:54:00,0,0,,17
2015-06-22 04:54:00,130,5,,17
2015-06-22 05:54:00,0,0,,17
2015-06-22 06:34:00,120,4,,17
2015-06-22 06:54:00,110,4,,17
2015-06-22 07:20:00,110,5,,17
2015-06-22 07:28:00,100,4,,17
2015-06-22 07:54:00,120,4,,17
2015-06-22 08:09:00,120,5,,16
2015-06-22 08:19:00,120,5,,16
2015-06-22 08:27:00,130,5,,16
2015-06-22 08:54:00,160,3,,16
2015-06-22 09:00:00,160,3,,16
2015-06-22 09:01:00,0,0,,16
2015-06-22 09:09:00,0,0,,16
2015-06-22 09:37:00,0,0,,17
2015-06-22 09:54:00,60,3,,17
2015-06-22 10:03:00,0,0,,17
2015-06-22 10:17:00,70,3,,17
2015-06-22 10:54:00,70,4,,17
2015-06-22 11:22:00,130,3,,17
2015-06-22 11:54:00,80,4,,17
2015-06-22 12:00:00,80,4,,17
2015-06-22 12:12:00,80,3,,18
2015-06-22 12:21:00,60,4,,18
2015-06-22 12:54:00,80,11,,18
2015-06-22 13:15:00,80,9,,17
2015-06-22 13:54:00,90,7,,18
2015-06-22 14:06:00,100,7,,18
2015-06-22 14:54:00,110,7,,18
2015-06-22 15:00:00,110,7,,18
2015-06-22 15:54:00,80,5,,20
2015-06-22 16:54:00,70,9,,20
2015-06-22 17:54:00,110,8,,21
2015-06-22 18:00:00,110,8,,21
2015-06-22 18:54:00,70,6,,22
2015-06-22 19:54:00,80,4,,23
2015-06-22 20:54:00,50,4,,22
2015-06-22 21:00:00,50,4,,22
2015-06-22 21:54:00,50,4,,23
2015-06-22 22:54:00,80,7,,24
2015-06-22 23:54:00,50,4,,19
2015-06-23 00:00:00,50,4,,19
2015-06-23 00:54:00,20,5,,19
2015-06-23 01:54:00,20,5,,18
2015-06-23 02:54:00,80,3,,18
2015-06-23 03:00:00,80,3,,18
2015-06-23 03:54:00,50,3,,17
2015-06-23 04:54:00,70,5,,17
2015-06-23 05:54:00,0,0,,16
2015-06-23 06:54:00,0,0,,17
2015-06-23 07:54:00,0,0,,17
2015-06-23 08:54:00,0,0,,17
2015-06-23 09:54:00,90,4,,17
2015-06-23 10:54:00,120,4,,18
2015-06-23 11:54:00,140,4,,20
2015-06-23 12:00:00,140,4,,20
2015-06-23 12:54:00,180,5,,23
2015-06-23 13:54:00,190,9,,24
2015-06-23 14:54:00,190,17,,28
2015-06-23 15:00:00,190,17,,28
2015-06-23 16:54:00,210,13,,27
2015-06-23 17:54:00,190,12,,27
2015-06-23 18:00:00,190,12,,27
2015-06-23 18:54:00,210,14,,29
2015-06-23 20:54:00,220,19,,30
2015-06-23 21:00:00,220,19,,30
2015-06-23 21:54:00,200,13,,28
2015-06-23 22:54:00,220,14,,28
2015-06-23 23:54:00,220,13,,27
2015-06-24 00:00:00,220,13,,27
2015-06-24 00:54:00,230,16,,26
2015-06-24 01:54:00,240,14,,25
2015-06-24 02:54:00,260,8,,24
2015-06-24 03:00:00,260,8,,24
2015-06-24 03:54:00,290,14,,24
2015-06-24 04:54:00,280,12,18,23
2015-06-24 05:54:00,290,13,,22
2015-06-24 06:00:00,290,13,,22
2015-06-24 06:54:00,290,7,,21
2015-06-24 07:54:00,280,6,,21
2015-06-24 08:54:00,280,7,,20
2015-06-24 09:00:00,280,7,,20
2015-06-24 09:54:00,270,8,,19
2015-06-24 10:54:00,280,10,,21
2015-06-24 11:54:00,290,12,,22
2015-06-24 12:00:00,290,12,,22
2015-06-24 12:54:00,280,14,,23
2015-06-24 13:54:00,290,14,,24
2015-06-24 14:54:00,300,14,18,25
2015-06-24 15:00:00,300,14,,25
2015-06-24 15:54:00,300,12,,26
2015-06-24 16:54:00,310,6,,26
2015-06-24 17:54:00,270,11,,27
2015-06-24 18:00:00,270,11,,27
2015-06-24 18:54:00,280,12,,28
2015-06-24 19:54:00,320,10,,28
2015-06-24 20:54:00,300,9,,29
2015-06-24 21:00:00,300,9,,29
2015-06-24 21:54:00,310,12,,28
2015-06-24 22:54:00,330,13,,27
2015-06-24 23:54:00,330,9,,26
2015-06-25 00:00:00,330,9,,26
2015-06-25 00:54:00,340,6,,25
2015-06-25 01:54:00,340,7,,24
2015-06-25 02:54:00,290,6,,23
2015-06-25 03:00:00,290,6,,23
2015-06-25 03:54:00,320,5,,23
2015-06-25 04:54:00,290,9,,21
2015-06-25 05:54:00,310,8,,21
2015-06-25 06:00:00,310,8,,21
2015-06-25 06:54:00,310,8,,20
2015-06-25 07:54:00,300,6,,19
2015-06-25 08:54:00,290,6,,18
2015-06-25 09:00:00,290,6,,18
2015-06-25 09:54:00,310,5,,18
2015-06-25 10:54:00,300,6,,20
2015-06-25 11:54:00,330,7,,21
2015-06-25 12:00:00,330,7,,21
2015-06-25 12:54:00,310,6,,22
2015-06-25 13:54:00,0,0,,23
2015-06-25 14:54:00,130,8,,23
2015-06-25 15:00:00,130,8,,23
2015-06-25 15:54:00,140,8,,24
2015-06-25 16:54:00,,6,,26
2015-06-25 17:54:00,290,8,,27
2015-06-25 18:00:00,290,8,,27
2015-06-25 18:54:00,280,9,14,27
2015-06-25 19:54:00,80,5,,24
2015-06-25 20:54:00,80,4,,23
2015-06-25 21:00:00,80,4,,23
2015-06-25 21:54:00,280,11,,26
2015-06-25 22:54:00,270,9,,26
2015-06-25 23:54:00,,6,,25
2015-06-26 00:00:00,,6,,25
2015-06-26 00:54:00,270,6,,24
2015-06-26 01:54:00,70,4,,20
2015-06-26 02:54:00,210,6,,21
2015-06-26 03:00:00,210,6,,21
2015-06-26 03:54:00,240,3,,23
2015-06-26 04:54:00,260,5,,22
2015-06-26 05:54:00,310,4,,22
2015-06-26 06:00:00,310,4,,22
2015-06-26 06:54:00,320,6,,22
2015-06-26 07:54:00,30,7,,19
2015-06-26 08:54:00,20,9,,18
2015-06-26 09:00:00,20,9,,18
2015-06-26 09:54:00,10,11,,18
2015-06-26 10:54:00,350,11,,18
2015-06-26 11:54:00,350,9,,18
2015-06-26 12:00:00,350,9,,18
2015-06-26 12:54:00,350,6,,18
2015-06-26 13:54:00,20,6,,18
